GeneID	GSM3518005	GSM3518006	GSM3518007	GSM3518008	GSM3518009	GSM3518010	GSM3518011	GSM3518012	GSM3518013
105373874	0.07842	0.07189	0.09258	0.2394	0.1097	0.2647	0.3974	0.04395	0.2344
105373873	0.06323	0.2662	0.09598	0.3923	0.1299	0.3201	1.137	0.1443	0.3887
105373872	0	0.06845	0.1157	0.1802	0.05221	0.392	0.2283	0.04882	0.4295
105373877	0.06188	0.6565	0	0.2194	1.335	0.4177	1.071	0.1561	0.6658
729582	0.2682	0.5729	0.7569	0.5794	1.597	1.838	1.898	1.113	2.344
7145	30.75	27.05	46.13	45.22	264	200.5	171.3	65.93	117.6
109623482	0.4551	0.5364	1.209	0.8068	8.184	12.29	7.874	2.295	2.448
102465485	1.695	1.998	3.752	1.502	21.33	16.21	14.22	4.749	12.16
105373878	0.4615	0.408	1.686	0.7159	4.15	3.894	3.992	2.522	2.793
285180	0	0.05348	0.02009	0.01341	0	0.02552	0	0.03814	0.02034
3580	0	0.3255	0	0.05439	0	0.1553	0.09651	0.07737	0.1238
3579	0.06633	0.1824	0.0881	0.07839	0.159	0.2239	0.2782	0.07434	0.565
3577	0.1332	0.2199	0.1062	0.07087	0.09585	0.04497	0.1257	0.1792	0.6452
101928487	0.1447	0.2558	0.3843	0.3847	1.041	1.221	1.365	0	1.459
10109	13.28	16.08	15.7	15.1	42.92	48.9	52.72	28.48	37.49
100189253	0	0	0	0.7957	0	3.03	2.824	0.7546	3.622
151306	0.2637	0.2391	0.1617	0.1079	0.3284	0.6163	1.053	0.631	0.2183
14	7.877	9.015	10.68	8.865	45.49	47.99	33.42	19.29	36.66
25953	3.226	3.109	2.935	2.686	10.32	11.88	10.46	7.896	13.28
64114	12.46	8.451	12.71	10.79	53.15	45.04	37.67	28.09	27.48
102465256	13.31	16.9	13.6	9.076	27.62	24.19	19.33	14.63	20.66
105373881	0.03924	0	0	0.03478	0.2117	0.1324	0.06172	0.03299	0.05278
105373880	0.4542	0.2294	0.4309	0.5751	0.7001	0.657	0.5103	0.2182	1.134
103689911	0	0.1306	0.1472	0.09821	0.09962	0.5609	0	0.09313	0
102466197	0	0	1.243	0	0	0	0	0	0
375307	0	0.03594	0.0405	0.02703	0.1645	0.2058	0.1439	0.1282	0.08202
101928513	0	0.2824	0.1591	0.1062	0.8618	1.213	0.9422	0.9064	1.128
6556	0.1931	0.2732	0.4446	0.1712	0.602	1.13	0.7088	1.559	0.5021
58190	5.703	4.139	6.225	3.743	24.61	30.12	21.59	13.5	20.49
407017	0.851	0	4.522	0.7544	9.183	12.93	2.677	2.146	4.578
