gene,log2FoldChange
ENSG00000242547,-2.7640630973589
ENSG00000137331,2.75962517872839
ENSG00000197153,-2.74788508735482
ENSG00000231831,-2.74651720203523
ENSG00000224356,2.74608415536057
ENSG00000106302,2.74559702297705
ENSG00000075035,-2.74452802976433
ENSG00000188488,-2.74445719643615
ENSG00000163792,-2.73559409393717
ENSG00000280011,-2.73344796005034
ENSG00000224237,-2.73065810419378
ENSG00000184925,2.72451757178143
ENSG00000277173,2.71029693212163
ENSG00000079689,-2.70719770888003
ENSG00000213935,2.6987434652928
ENSG00000244346,2.69392273762001
ENSG00000249855,2.68959271116362
ENSG00000225383,2.6886281899203
ENSG00000276368,-2.68215879123334
ENSG00000211673,-2.67684991897652
ENSG00000198734,-2.67673670141872
ENSG00000155886,2.66750643668113
ENSG00000164266,2.66740855401471
ENSG00000204655,-2.66443627696392
ENSG00000223764,2.6617478018367
ENSG00000264573,-2.66025353217029
ENSG00000126787,-2.65967845065946
ENSG00000224578,2.65875722573391
ENSG00000229914,-2.65324317784718
ENSG00000241535,-2.65304668305963
ENSG00000133800,-2.64751711945586
ENSG00000239899,-2.64706297427111
ENSG00000237852,2.6392388915853
ENSG00000203747,-2.63645827937845
ENSG00000240606,-2.62834249927507
ENSG00000250423,-2.62340000628537
ENSG00000277775,-2.61694836499799
ENSG00000177984,-2.61317013482611
ENSG00000272320,-2.60832865422505
ENSG00000155659,-2.59574708295602
ENSG00000106483,2.59416417677927
ENSG00000250842,-2.59221911506493
ENSG00000229417,-2.59020927881271
ENSG00000277387,2.58795636806962
ENSG00000115590,-2.58756927104513
ENSG00000241162,-2.58380115530607
ENSG00000196242,-2.58373268974241
ENSG00000188015,-2.58026250696571
ENSG00000210049,-2.57667002884632
ENSG00000227260,-2.57398523323758
ENSG00000284584,-2.57287075618909
ENSG00000244618,-2.56747013962064
ENSG00000183908,2.56581093250307
ENSG00000006606,-2.56380788297344
ENSG00000284713,2.5613425214061
ENSG00000173114,-2.55828640577389
ENSG00000163220,-2.55810559218645
ENSG00000273619,2.5562963659591
ENSG00000131188,2.55627670629594
ENSG00000178999,-2.55568643767167
ENSG00000198019,-2.55348445297743
ENSG00000240103,-2.54372715918636
ENSG00000184357,-2.5418066775645
ENSG00000225526,2.54094139691653
ENSG00000168824,-2.53238031737698
ENSG00000226849,2.52783997347837
ENSG00000210196,-2.52436424721323
ENSG00000224982,2.52234314259286
ENSG00000210117,-2.52020344676865
ENSG00000133958,2.50944595768615
ENSG00000182107,2.50500867133322
ENSG00000267469,-2.50373560334904
ENSG00000206633,2.50062764331771
ENSG00000179452,-2.49260814831204
ENSG00000075886,-2.49212606264899
ENSG00000163823,-2.48553371145944
ENSG00000196581,2.48150943427421
ENSG00000248713,-2.47933009294408
ENSG00000198088,2.47613460226491
ENSG00000184544,-2.46960902503847
ENSG00000276903,-2.46425201118843
ENSG00000244514,-2.46135676727544
ENSG00000200550,-2.46113340865784
ENSG00000121570,-2.45794912557146
ENSG00000254170,-2.45541645709475
ENSG00000272087,-2.44815136909328
ENSG00000229981,-2.43596986812023
ENSG00000210100,-2.43543585364891
ENSG00000138675,-2.43098204364658
ENSG00000272768,2.42987344876319
ENSG00000183397,2.4270464920775
ENSG00000162998,2.42697359885852
ENSG00000177575,-2.42101638008948
ENSG00000250771,-2.41980846394367
ENSG00000277999,2.41733068751287
ENSG00000249816,-2.41692492870756
ENSG00000275803,-2.40552468462147
ENSG00000250144,-2.40177993183039
ENSG00000254331,-2.40067950025937
ENSG00000278272,-2.40032936149527
ENSG00000275713,-2.39693939615174
ENSG00000223813,-2.39446644008229
ENSG00000240654,2.39412038931907
ENSG00000118849,-2.39117269835534
ENSG00000196747,-2.38577351109996
ENSG00000228395,2.38239140171981
ENSG00000173369,-2.38104904480858
ENSG00000172458,2.37603283961498
ENSG00000253602,-2.37471822100978
ENSG00000224769,2.37389797961332
ENSG00000267206,-2.36938495477754
ENSG00000197253,-2.36277346605002
ENSG00000056487,2.36044367453466
ENSG00000198888,-2.35929537724288
ENSG00000129226,-2.3575175213934
ENSG00000073754,-2.3537616018153
ENSG00000228863,-2.35346717820641
ENSG00000245526,-2.35109911959648
ENSG00000263551,-2.34300102703464
ENSG00000054938,-2.33990022249436
ENSG00000282608,-2.33869928035809
ENSG00000259610,-2.33868640568317
ENSG00000133962,-2.33811815352193
ENSG00000259582,-2.33771706360901
ENSG00000273983,-2.33739415960972
ENSG00000140459,2.33723839060662
ENSG00000181195,2.3336501801195
ENSG00000262663,2.32800660277132
ENSG00000202078,2.30903419639986
ENSG00000100292,-2.30594958001015
ENSG00000157766,2.30338942907025
ENSG00000239821,-2.30227856185635
ENSG00000231434,-2.30033419217415
ENSG00000159166,-2.300040268375
ENSG00000125675,2.29977651486743
ENSG00000082482,-2.29854468092615
ENSG00000260776,-2.29623674580339
ENSG00000166407,-2.2961254483904
ENSG00000232692,-2.28938790247883
ENSG00000258168,-2.28831555031622
ENSG00000117650,-2.28829910778701
ENSG00000165323,2.28102318233494
ENSG00000163293,-2.27598703229719
ENSG00000280234,2.2679225376796
ENSG00000153294,-2.26691706077371
ENSG00000205622,-2.26497474431123
ENSG00000121933,-2.26385329223949
ENSG00000205362,-2.26309072014029
ENSG00000260290,-2.26274083810856
ENSG00000175063,-2.2625588260075
ENSG00000169413,-2.23874430911949
ENSG00000171951,2.23864793202175
ENSG00000233695,2.23321358722982
ENSG00000196549,2.23262755218522
ENSG00000223668,-2.22424028036131
ENSG00000149599,2.21932226574876
ENSG00000186314,-2.21739588490611
ENSG00000276213,-2.21508211164407
ENSG00000008226,2.21397545213198
ENSG00000198502,-2.21348980855649
ENSG00000241360,2.20799058744614
ENSG00000100191,2.20369574478773
ENSG00000117152,2.20255465517131
ENSG00000105516,2.19757359626967
ENSG00000235480,-2.19605903892512
ENSG00000227183,-2.19293982546976
ENSG00000245468,2.19221159208358
ENSG00000111206,-2.18906362168961
ENSG00000259797,2.18719869827102
ENSG00000197934,-2.18321235816042
ENSG00000198033,-2.17293236411297
ENSG00000019169,-2.17142593630569
ENSG00000263105,2.16730141689124
ENSG00000230807,-2.16398832585892
ENSG00000241291,-2.1618704038283
ENSG00000185669,-2.15984572959848
ENSG00000140534,-2.15885461080424
ENSG00000243872,-2.15785323859425
ENSG00000168143,-2.15741503131667
ENSG00000279841,2.1556476112959
ENSG00000132965,-2.15535006825074
ENSG00000158014,2.15349998708421
ENSG00000258676,-2.15299657509891
ENSG00000143546,-2.15258129411132
ENSG00000090382,-2.15197590103802
ENSG00000130762,-2.15067977675175
ENSG00000223727,-2.14757028567925
ENSG00000129204,-2.14723108426284
ENSG00000106624,2.14457597741318
ENSG00000116574,-2.13707507056729
ENSG00000201715,-2.1349124261299
ENSG00000039139,2.13401593306301
ENSG00000254290,-2.12772003775176
ENSG00000279821,2.12754065921553
ENSG00000160867,-2.12451279806647
ENSG00000123485,-2.11733745449784
ENSG00000118193,-2.11211005499792
ENSG00000185272,-2.11108972192315
ENSG00000138722,-2.10748426767363
ENSG00000266274,-2.10717324205953
ENSG00000110881,2.10574691866851
ENSG00000124575,-2.10080453018802
ENSG00000154096,2.09892250318666
ENSG00000249363,-2.09734691250766
ENSG00000139410,2.09620187364164
ENSG00000180999,-2.09599644440369
ENSG00000198515,-2.08484232757275
ENSG00000101057,-2.08412374069142
ENSG00000214814,-2.07466382654348
ENSG00000129450,-2.07257298807071
ENSG00000265813,-2.06919250889971
ENSG00000247498,2.06676651676368
ENSG00000170820,-2.06577009298483
ENSG00000274997,-2.0653035093575
ENSG00000279361,2.06506438149489
ENSG00000279748,-2.06014322906502
ENSG00000210191,-2.05792968500076
ENSG00000155974,-2.0553248977792
ENSG00000207174,-2.05318291238844
ENSG00000180287,2.05306566645195
ENSG00000253389,-2.04981073938536
ENSG00000283141,2.04617280362537
ENSG00000214842,2.04432909740786
ENSG00000145416,-2.04031985588826
ENSG00000108932,2.03722802507115
ENSG00000276980,-2.03094817599982
ENSG00000237928,2.0293292876406
ENSG00000239942,-2.02835104594506
ENSG00000139364,-2.02772335077171
ENSG00000070193,-2.02717756733529
ENSG00000062524,-2.02607621059298
ENSG00000134121,-2.02509726439711
ENSG00000248527,-2.02493994300128
ENSG00000155980,-2.02482519838107
ENSG00000276931,2.02413452365352
ENSG00000250125,2.02297332283467
ENSG00000172243,-2.0168599120525
ENSG00000185130,-2.00820150090463
ENSG00000147041,2.00518256028721
ENSG00000121005,1.99130201004988
ENSG00000234350,-1.98894575574238
ENSG00000169607,-1.9889313078729
ENSG00000124491,-1.98337815822638
ENSG00000145850,-1.97933460425732
ENSG00000187922,-1.97770679477202
ENSG00000121807,-1.97516852957769
ENSG00000135476,-1.97418886893031
ENSG00000087085,1.97401562351548
ENSG00000265542,-1.9718803667894
ENSG00000250982,-1.9707512240946
ENSG00000236120,-1.96927260663642
ENSG00000162981,-1.9677347555443
ENSG00000115602,-1.9645167527274
ENSG00000277351,-1.9621246037588
ENSG00000125735,-1.95971698890822
ENSG00000198838,1.95953894805212
ENSG00000172543,-1.95896537370368
ENSG00000086717,-1.95641283523536
ENSG00000187955,1.95401231086049
ENSG00000105737,1.95378707119059
ENSG00000101144,-1.94764352272958
ENSG00000002726,-1.94330634612544
ENSG00000151704,-1.94058626627864
ENSG00000101916,-1.93983654981081
ENSG00000156127,-1.93582308789929
ENSG00000056736,-1.92831806130732
ENSG00000129538,-1.92684839228302
ENSG00000187758,-1.92658783505487
ENSG00000229344,-1.92550873679861
ENSG00000207445,-1.92214103328496
ENSG00000100095,1.91714456120878
ENSG00000011426,-1.91460507066671
ENSG00000112984,-1.90344300514238
ENSG00000211893,-1.9014029298869
